GameId,Season,Week,HomeTeamId,HomeTeam,AwayTeamId,AwayTeam,StadiumName,CoveredStadium,HomeScore,AwayScore,SpreadLine,TotalLine,SpreadResult,TotalResult,Weather,PrecipIntensity,PrecipProbability,PrecipType,Temperature,WindSpeed
2837,2020,3,10,Broncos,30,Buccaneers,Empower Field at Mile High,0,10,28,-6,42.5,-18,38,Foggy,0.0006,0.02,rain,54.06999969,4
2838,2020,3,27,Seahawks,9,Cowboys,Lumen Field,0,38,31,5.5,58,7,69,Partly Cloudy,0.0003,0.01,rain,65.11000061,4
2839,2020,3,20,Saints,12,Packers,Mercedes-Benz Superdome,1,30,37,3.5,52,-7,67,Humid,0,0,NA,79.23000336,5
2840,2020,3,3,Ravens,16,Chiefs,M&T Bank Stadium,0,20,34,3.5,55,-14,54,Clear,0.0007,0.02,rain,72.98000336,8
2841,2020,4,22,Jets,10,Broncos,MetLife Stadium,0,28,37,1,41,-9,65,Mostly Cloudy,0.0007,0.01,rain,65.48000336,4
2842,2020,4,5,Panthers,1,Cardinals,Bank of America Stadium,0,31,21,-3,52.5,10,52,Clear,0,0,NA,66.22000122,6
2843,2020,4,6,Bears,14,Colts,Soldier Field,0,11,19,-3.5,43.5,-8,30,Partly Cloudy,0,0,NA,52.59999847,10
2844,2020,4,7,Bengals,15,Jaguars,Paul Brown Stadium,0,33,25,1,50,8,58,Partly Cloudy,0,0,NA,67.05999756,9
2845,2020,4,9,Cowboys,8,Browns,AT&T Stadium,1,38,49,3.5,56.5,-11,87,Clear,0,0,NA,74.41999817,11
2846,2020,4,11,Lions,20,Saints,Ford Field,1,29,35,-3,51.5,-6,64,Possible Light Rain,0.0106,0.319999993,rain,52.18999863,6
2847,2020,4,13,Texans,18,Vikings,NRG Stadium,1,23,31,3.5,52.5,-8,54,Clear,0,0,NA,79.69000244,3
2848,2020,4,17,Dolphins,27,Seahawks,Hard Rock Stadium,0,23,31,-4.5,55,-8,54,Humid and Mostly Cloudy,0.0015,0.029999999,rain,87.84999847,13
2849,2020,4,30,Buccaneers,26,Chargers,Raymond James Stadium,0,38,31,7.5,42.5,7,69,Possible Drizzle and Humid,0.0078,0.25,rain,75.68000031,8
2850,2020,7,31,Titans,25,Steelers,Nissan Stadium,0,24,27,1,51,-3,51,Overcast,0.0002,0.01,rain,58.65999985,3
2851,2020,4,32,Football Team,3,Ravens,FedEx Field,0,17,31,-14.5,45,-14,48,Clear,0,0,NA,66.93000031,5
2852,2020,4,29,Rams,21,Giants,SoFi Stadium,0,17,9,13.5,49.5,8,26,Clear,0,0,NA,88.44000244,4
2853,2020,4,16,Chiefs,19,Patriots,Arrowhead Stadium,0,26,10,7,52.5,16,36,Clear,0,0,NA,71.77999878,12
2854,2020,4,23,Raiders,4,Bills,Allegiant Stadium,1,23,30,-3,53,-7,53,Clear,0,0,NA,92.61000061,4
2855,2020,4,28,49ers,24,Eagles,Levi's Stadium,0,20,25,8.5,45.5,-5,45,Clear,0,0,NA,84.91000366,6
2856,2020,4,12,Packers,2,Falcons,Lambeau Field,0,30,16,5,56.5,14,46,Clear,0,0,NA,54.54999924,12
2857,2020,5,6,Bears,30,Buccaneers,Soldier Field,0,20,19,-3.5,44,1,39,Clear,0,0,NA,57.63999939,7
2858,2020,5,2,Falcons,5,Panthers,Mercedes-Benz Stadium,1,16,23,2.5,53.5,-7,39,Possible Light Rain,0.0106,0.370000005,rain,71.58999634,9
2859,2020,5,3,Ravens,7,Bengals,M&T Bank Stadium,0,27,3,12.5,49,24,30,Possible Light Rain,0.0106,0.370000005,rain,70.23000336,5
2860,2020,5,13,Texans,15,Jaguars,NRG Stadium,1,30,14,6.5,55,16,44,Humid,0,0,NA,86.62000275,8
2861,2020,5,16,Chiefs,23,Raiders,Arrowhead Stadium,0,32,40,11,54.5,-8,72,Clear,0,0,NA,79.15000153,12
