"Rank","Season","Player","Team","Games","Att","Yds","YAContact","TDs","Brkn Tkls","Missed Tkls","1st Downs","Fum","Fum Lost","Hit at Line","Stuffs","Used Designed Gap"
"[object Object]","2022","Raheem Mostert","Dolphins","16","181","891","503","3","17","10","44","1","1","66","34","130"
"[object Object]","2022","Justin Fields","Bears","15","160","1143","550","8","17","31","65","1","0","65","29","151"
"[object Object]","2021","James Robinson","Jaguars","14","164","767","406","8","7","13","41","2","2","65","25","103"
"[object Object]","2016","Frank Gore","Colts","16","263","1025","486","4","26","0","46","2","1","65","34","182"
"[object Object]","2017","Orleans Darkwa","Giants","15","171","751","511","5","13","0","34","1","0","65","29","121"
"[object Object]","2019","Lamar Jackson","Ravens","15","176","1206","521","7","8","46","72","5","2","64","34","160"
"[object Object]","2020","Alvin Kamara","Saints","15","187","932","471","16","17","17","59","1","0","64","25","114"
"[object Object]","2017","Dion Lewis","Patriots","16","180","896","563","6","52","0","47","0","0","64","30","122"
"[object Object]","2021","Aaron Jones","Packers","15","171","799","495","4","14","16","37","1","1","63","27","94"
"[object Object]","2019","Alvin Kamara","Saints","14","171","797","442","5","23","15","31","3","1","63","27","133"
"[object Object]","2022","James Conner","Cardinals","13","183","782","497","7","17","13","48","3","1","63","23","110"
"[object Object]","2020","Miles Sanders","Eagles","12","164","867","442","6","13","14","39","4","2","61","29","111"
"[object Object]","2022","Latavius Murray","2 teams","13","171","760","436","6","8","10","44","0","0","61","25","109"
"[object Object]","2018","Alvin Kamara","Saints","15","194","883","462","14","18","7","56","1","0","61","25","111"
"[object Object]","2021","A.J. Dillon","Packers","17","187","803","532","5","17","7","50","1","1","61","21","114"
"[object Object]","2015","Mark Ingram","Saints","12","166","769","481","6","35","0","30","1","0","59","30","0"
"[object Object]","2018","Phillip Lindsay","Broncos","15","192","1037","423","9","14","12","48","0","0","58","38","114"
"[object Object]","2019","Mark Ingram","Ravens","15","202","1018","545","10","38","3","54","2","2","58","27","166"
"[object Object]","2019","Devin Singletary","Bills","12","151","775","355","2","19","17","37","4","1","57","30","95"
"[object Object]","2018","Matt Breida","49ers","14","153","814","361","3","16","5","37","1","1","55","28","107"
"[object Object]","2020","Clyde Edwards-Helaire","Chiefs","13","181","803","403","4","17","12","39","0","0","54","35","136"
"[object Object]","2020","Ronald Jones II","Buccaneers","14","192","978","643","7","12","13","48","0","0","53","23","132"
"[object Object]","2021","Leonard Fournette","Buccaneers","14","180","812","446","8","14","9","46","0","0","53","22","123"
"[object Object]","2017","Cam Newton","Panthers","16","138","746","276","6","23","0","47","5","1","53","35","79"
"[object Object]","2020","Lamar Jackson","Ravens","15","157","1009","337","7","10","25","56","5","2","51","22","148"
"[object Object]","2022","Josh Allen","Bills","16","124","762","332","7","9","16","55","1","0","50","28","114"
"[object Object]","2019","Raheem Mostert","49ers","15","137","772","399","8","13","15","31","1","1","48","16","99"
"[object Object]","2021","Jalen Hurts","Eagles","15","139","784","238","10","11","14","56","4","2","48","23","133"
"[object Object]","2021","Josh Allen","Bills","17","122","763","343","6","14","21","54","5","2","46","25","113"
"[object Object]","2021","Rashaad Penny","Seahawks","10","119","749","446","6","12","12","28","0","0","45","21","75"
"[object Object]","2022","Isiah Pacheco","Chiefs","17","170","830","464","5","11","5","37","3","2","45","20","116"
"[object Object]","2022","Lamar Jackson","Ravens","12","111","756","363","3","9","17","45","1","1","43","26","101"
"[object Object]","2020","Antonio Gibson","Football Team","14","170","795","332","11","20","8","40","0","0","41","22","118"
"[object Object]","2020","Kyler Murray","Cardinals","16","133","819","218","11","4","22","52","5","0","40","27","124"
"[object Object]","2015","Thomas Rawls","Seahawks","12","147","830","456","4","22","0","27","1","1","39","17","0"
"[object Object]","2021","Miles Sanders","Eagles","12","137","754","340","0","3","8","33","1","1","37","16","94"
"[object Object]","2020","J.K. Dobbins","Ravens","15","134","805","388","9","15","13","38","2","0","35","18","104"
"[object Object]","2021","Lamar Jackson","Ravens","12","133","767","306","2","7","31","48","3","2","34","14","121"
