"season","team","total_points","total_yards","rz_eff","rz_td_eff","rz_fg_eff","total_to","def_td","spec_tds"
2013,"SF",406,5180,0.892857142857143,0.553571428571429,0.339285714285714,18,4,1
2013,"LA",348,4877,0.823529411764706,0.490196078431373,0.333333333333333,21,5,2
2013,"TB",288,4432,0.891891891891892,0.513513513513513,0.378378378378378,18,3,0
2013,"TEN",362,5390,0.9,0.56,0.34,21,5,3
2013,"WAS",334,5915,0.803921568627451,0.509803921568627,0.294117647058824,33,5,1
2014,"ARI",310,5116,0.868421052631579,0.421052631578947,0.447368421052632,17,4,1
2014,"ATL",381,6051,0.931818181818182,0.613636363636364,0.318181818181818,24,2,1
2014,"BAL",409,5838,0.841269841269841,0.523809523809524,0.317460317460317,18,1,0
2014,"BUF",343,5096,0.843137254901961,0.431372549019608,0.411764705882353,22,1,1
2014,"CAR",339,5547,0.872340425531915,0.468085106382979,0.404255319148936,21,3,2
2014,"CHI",319,5233,0.808510638297872,0.638297872340426,0.170212765957447,29,1,0
2014,"CIN",365,5568,0.918367346938776,0.571428571428571,0.346938775510204,25,1,0
2014,"CLE",299,5193,0.836734693877551,0.489795918367347,0.346938775510204,22,3,0
2014,"DAL",467,6138,0.903846153846154,0.653846153846154,0.25,23,3,0
2014,"DEN",482,6446,0.919354838709677,0.629032258064516,0.290322580645161,19,3,0
2014,"DET",321,5452,0.851063829787234,0.531914893617021,0.319148936170213,17,2,0
2014,"GB",486,6178,0.861538461538462,0.584615384615385,0.276923076923077,12,4,3
2014,"HOU",372,5513,0.918367346938776,0.551020408163265,0.36734693877551,23,5,0
2014,"IND",458,6506,0.883333333333333,0.55,0.333333333333333,30,2,0
2014,"JAX",249,4634,0.75,0.40625,0.34375,25,3,0
2014,"KC",353,5100,0.916666666666667,0.583333333333333,0.333333333333333,16,1,1
2014,"MIA",388,5601,0.794117647058823,0.514705882352941,0.279411764705882,19,3,1
2014,"MIN",325,5048,0.871794871794872,0.538461538461538,0.333333333333333,19,3,0
2014,"NE",468,5848,0.91044776119403,0.582089552238806,0.328358208955224,13,3,2
2014,"NO",401,6582,0.830769230769231,0.6,0.230769230769231,29,0,0
2014,"NYG",380,5875,0.836065573770492,0.590163934426229,0.245901639344262,24,1,0
2014,"NYJ",283,5226,0.829787234042553,0.361702127659574,0.468085106382979,22,0,0
2014,"LV",253,4515,0.931034482758621,0.724137931034483,0.206896551724138,27,1,0
2014,"PHI",474,6348,0.866666666666667,0.5,0.366666666666667,35,4,2
2014,"PIT",436,6577,0.818181818181818,0.527272727272727,0.290909090909091,20,4,2
2014,"LAC",348,5465,0.854166666666667,0.541666666666667,0.3125,22,3,0
2014,"SEA",394,6012,0.883333333333333,0.516666666666667,0.366666666666667,12,2,0
2014,"SF",306,5239,0.772727272727273,0.431818181818182,0.340909090909091,21,3,0
2014,"LA",324,5035,0.840909090909091,0.5,0.340909090909091,26,3,3
2014,"TB",277,4672,0.743589743589744,0.538461538461538,0.205128205128205,32,3,0
2014,"TEN",254,4859,0.825,0.5,0.325,24,2,1
2014,"WAS",301,5738,0.86,0.48,0.38,30,0,1
2015,"ARI",489,6533,0.952380952380952,0.603174603174603,0.349206349206349,22,6,0
2015,"ATL",339,5985,0.830188679245283,0.547169811320755,0.283018867924528,30,3,0
2015,"BAL",328,5749,0.893617021276596,0.48936170212766,0.404255319148936,26,2,1
2015,"BUF",379,5775,0.815789473684211,0.5,0.315789473684211,16,3,1
2015,"CAR",500,5871,0.936507936507937,0.682539682539683,0.253968253968254,19,4,1
2015,"CHI",335,5514,0.84,0.48,0.36,20,0,2
2015,"CIN",419,5728,0.862068965517241,0.655172413793103,0.206896551724138,17,1,0
2015,"CLE",278,5311,0.872340425531915,0.382978723404255,0.48936170212766,27,2,1
2015,"DAL",275,5361,0.888888888888889,0.444444444444444,0.444444444444444,31,1,1
2015,"DEN",355,5688,0.909090909090909,0.477272727272727,0.431818181818182,30,5,1
2015,"DET",358,5547,0.897959183673469,0.693877551020408,0.204081632653061,22,2,0
2015,"GB",368,5350,0.826923076923077,0.538461538461538,0.288461538461538,17,2,0
2015,"HOU",339,5564,0.844444444444444,0.577777777777778,0.266666666666667,20,3,0
2015,"IND",333,5142,0.795918367346939,0.530612244897959,0.26530612244898,28,5,0
2015,"JAX",376,5581,0.851851851851852,0.537037037037037,0.314814814814815,27,3,1
2015,"KC",405,5299,0.888888888888889,0.574074074074074,0.314814814814815,13,6,0
2015,"MIA",310,5307,0.767441860465116,0.534883720930233,0.232558139534884,18,3,1
2015,"MIN",365,5139,0.954545454545455,0.5,0.454545454545455,16,3,1
2015,"NE",465,5991,0.950819672131147,0.655737704918033,0.295081967213115,11,2,0
2015,"NO",408,6461,0.810344827586207,0.603448275862069,0.206896551724138,19,1,1
2015,"NYG",420,5952,0.833333333333333,0.444444444444444,0.388888888888889,21,4,2
2015,"NYJ",387,5925,0.924528301886792,0.660377358490566,0.264150943396226,24,0,0
2015,"LV",359,5336,0.902439024390244,0.609756097560976,0.292682926829268,20,1,1
2015,"PHI",377,5830,0.840909090909091,0.568181818181818,0.272727272727273,31,4,2
2015,"PIT",423,6327,0.946428571428571,0.607142857142857,0.339285714285714,26,2,1
2015,"LAC",320,5949,0.886363636363636,0.636363636363636,0.25,23,1,0
2015,"SEA",423,6058,0.938775510204082,0.551020408163265,0.387755102040816,15,3,2
2015,"SF",238,4860,0.871794871794872,0.435897435897436,0.435897435897436,15,1,0
2015,"LA",280,4761,0.833333333333333,0.527777777777778,0.305555555555556,20,3,1
2015,"TB",342,6014,0.865384615384615,0.538461538461538,0.326923076923077,26,3,0
2015,"TEN",299,4988,0.8,0.65,0.15,31,2,0
2015,"WAS",388,5661,0.918367346938776,0.612244897959184,0.306122448979592,20,2,0
2016,"ARI",418,5868,0.87037037037037,0.648148148148148,0.222222222222222,28,3,1
2016,"ATL",540,6653,0.921875,0.625,0.296875,11,5,0
2016,"BAL",343,5563,0.804347826086957,0.521739130434783,0.282608695652174,20,1,1
2016,"BUF",399,5666,0.888888888888889,0.648148148148148,0.240740740740741,12,3,1
2016,"CAR",369,5499,0.86,0.6,0.26,27,3,0
2016,"CHI",279,5704,0.795918367346939,0.510204081632653,0.285714285714286,29,2,1
2016,"CIN",325,5711,0.907407407407407,0.537037037037037,0.37037037037037,15,0,0
2016,"CLE",264,4976,0.840909090909091,0.545454545454545,0.295454545454545,25,1,0
2016,"DAL",421,6027,0.947368421052632,0.666666666666667,0.280701754385965,15,0,0
2016,"DEN",333,5169,0.872340425531915,0.468085106382979,0.404255319148936,22,4,1
2016,"DET",346,5421,0.895833333333333,0.541666666666667,0.354166666666667,14,1,2
2016,"GB",432,5900,0.909090909090909,0.606060606060606,0.303030303030303,16,0,1
2016,"HOU",279,5038,0.911111111111111,0.4,0.511111111111111,21,1,2
2016,"IND",411,5830,0.849056603773585,0.660377358490566,0.188679245283019,22,1,0
2016,"JAX",318,5359,0.825,0.6,0.225,26,1,0
2016,"KC",389,5488,0.836363636363636,0.454545454545455,0.381818181818182,16,5,3
