"game_id","week","team","starting_line"
"2022_07_CLE_BAL",7,"CLE","Ethan Pocic, Hjalte Froholdt, Jack Conklin, Jedrick Wills Jr., Joel Bitonio"
"2022_07_DET_DAL",7,"DAL","Connor McGovern, Terence Steele, Tyler Biadasz, Tyler Smith, Zack Martin"
"2022_07_DET_DAL",7,"DET","Evan Brown, Frank Ragnow, Jonah Jackson, Penei Sewell, Taylor Decker"
"2022_07_GB_WAS",7,"GB","Elgton Jenkins, Jon Runyan Jr., Josh Myers, Yosuah Nijman, Zach Tom"
"2022_07_GB_WAS",7,"WAS","Andrew Norwell, Charles Leno Jr., Cornelius Lucas, Saahdiq Charles, Tyler Larsen"
"2022_07_HOU_LV",7,"HOU","A.J. Cann, Kenyon Green, Laremy Tunsil, Scott Quessenberry, Tytus Howard"
"2022_07_HOU_LV",7,"LV","Alex Bars, Andre James, Dylan Parham, Kolton Miller, Thayer Munford"
"2022_07_IND_TEN",7,"IND","Braden Smith, Dennis Kelly, Matt Pryor, Quenton Nelson, Ryan Kelly"
"2022_07_IND_TEN",7,"TEN","Aaron Brewer, Ben Jones, Dennis Daley, Dillon Radunz, Nicholas Petit-Frere"
"2022_07_KC_SF",7,"KC","Andrew Wylie, Creed Humphrey, Joe Thuney, Orlando Brown Jr., Trey Smith"
"2022_07_KC_SF",7,"SF","Aaron Banks, Jake Brendel, Mike McGlinchey, Spencer Burford, Trent Williams"
"2022_07_NO_ARI",7,"ARI","Billy Price, Cody Ford, D.J. Humphries, Kelvin Beachum, Will Hernandez"
"2022_07_NO_ARI",7,"NO","Calvin Throckmorton, Cesar Ruiz, Erik McCoy, James Hurst, Ryan Ramczyk"
"2022_07_NYG_JAX",7,"JAX","Brandon Scherff, Cam Robinson, Jawaan Taylor, Luke Fortner, Tyler Shatley"
"2022_07_NYG_JAX",7,"NYG","Andrew Thomas, Jon Feliciano, Joshua Ezeudu, Mark Glowinski, Tyre Phillips"
"2022_07_NYJ_DEN",7,"DEN","Billy Turner, Cameron Fleming, Dalton Risner, Lloyd Cushenberry III, Quinn Meinerz"
"2022_07_NYJ_DEN",7,"NYJ","Cedric Ogbuehi, Connor McGovern, Duane Brown, Laken Tomlinson, Nate Herbig"
"2022_07_PIT_MIA",7,"MIA","Brandon Shell, Connor Williams, Liam Eichenberg, Robert Hunt, Terron Armstead"
"2022_07_PIT_MIA",7,"PIT","Chukwuma Okorafor, Dan Moore, James Daniels, Kevin Dotson, Mason Cole"
"2022_07_SEA_LAC",7,"LAC","Corey Linsley, Jamaree Salyer, Matt Feiler, Trey Pipkins, Zion Johnson"
"2022_07_SEA_LAC",7,"SEA","Abraham Lucas, Austin Blythe, Charles Cross, Damien Lewis, Phil Haynes"
"2022_07_TB_CAR",7,"CAR","Austin Corbett, Bradley Bozeman, Brady Christensen, Ikem Ekwonu, Taylor Moton"
"2022_07_TB_CAR",7,"TB","Donovan Smith, Luke Goedeke, Robert Hainsey, Shaq Mason, Tristan Wirfs"
"2022_08_ARI_MIN",8,"ARI","Billy Price, Cody Ford, Josh Jones, Kelvin Beachum, Will Hernandez"
